Name:,Part nr:,Price:,Quantity:,Function:,Link:
ESP32,ESP32-Wroom,0,1,To control and connect to wifi,
CeramicCapacitors,1uF,0,Multipe,Stabilize voltage,From laptop motherboard
Electrolytic capacitors,"100uF, 25V",0 USD,2,For power smoothing,From robot vacuum
Curtain motor,(Wheels of vacuum),0 USD,2,Open/close curtain,From robot vacuum
Motor driver,AM4659 ,0 USD,2,to drive the motor,From robot vacuum
Fan,5v Fan,0 USD,1,prevent solder smoke/ventilate,From pc
LED strip,5V old LED strip,0 USD,1,to light the room,Laying around
Thermistor,10 kohm NTC,0 USD,1,Measure temperature,From laptop cpu temp sensor
Mosfet,G961 1A LDO,0 USD,1,To control brightness of LED strip,https://www.alldatasheet.com/datasheet-pdf/view/105493/GMT/G961-18ADJTEU.html
Copper Clad,to have pcb on it,7 dollar,5,To put components on,https://www.aliexpress.com/item/1005006221193001.html?spm=a2g0o.productlist.main.13.460e3a69bUSqmc&algo_pvid=0f968f4b-4dab-44e4-9940-d1a89bb61177&algo_exp_id=0f968f4b-4dab-44e4-9940-d1a89bb61177-12&pdp_ext_f=%7B%22order%22%3A%222%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21DKK%21129.05%2140.11%21%21%21138.24%2142.97%21%4021038df617671818425206967e2690%2112000036339815987%21sea%21DK%213871794027%21X%211%210%21n_tag%3A-29919%3Bd%3Ac5797a79%3Bm03_new_user%3A-29895%3BpisId%3A5000000198273513&curPageLogUid=TUCw4VrV8onk&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006221193001%7C_p_origin_prod%3A
Wires,any type of wire,0 USD,Multiple,to connect the connectors,Any type of wire
"Resistor, pull up",10 kohm,0 USD,1,Voltage divider for thermistor,Had it laying around
Resistor,"0.1 ohm, 1W",0 USD,2,Current sensing for the AM4659,Any resistor under 1 ohm
Input protection,ET9528,0 USD,1,Overvoltage & overcurrent protection,https://etek.com.cn/upload/files/product/20250630/17512731716326659.pdf
